0.01 0 0 4.15672e+15 8.92016e+14 1.28216e+46 -3.88469e+46 -2.81808e+15
0.01 0.005 -3.35283e+14 4.15672e+15 8.92016e+14 1.13705e+46 -3.44502e+46 -2.81808e+15
0.01 0.01 -5.52565e+14 4.15672e+15 8.92016e+14 8.30911e+45 -2.51749e+46 -2.81808e+15
0.01 0.015 -6.56719e+14 4.15672e+15 8.92016e+14 5.45042e+45 -1.65137e+46 -2.81808e+15
0.01 0.02 -6.99438e+14 4.15672e+15 8.92016e+14 3.40802e+45 -1.03256e+46 -2.81808e+15
0.01 0.025 -7.15826e+14 4.15672e+15 8.92016e+14 2.09084e+45 -6.33482e+45 -2.81808e+15
0.01 0.03 -7.2195e+14 4.15672e+15 8.92016e+14 1.27355e+45 -3.85859e+45 -2.81808e+15
0.01 0.035 -7.24216e+14 4.15672e+15 8.92016e+14 7.73654e+44 -2.34401e+45 -2.81808e+15
0.01 0.04 -7.25051e+14 4.15672e+15 8.92016e+14 4.69515e+44 -1.42254e+45 -2.81808e+15
0.01 0.045 -7.25359e+14 4.15672e+15 8.92016e+14 2.84836e+44 -8.62994e+44 -2.81808e+15
0.01 0.05 -7.25472e+14 4.15672e+15 8.92016e+14 1.72775e+44 -5.23473e+44 -2.81808e+15
0.01 0.055 -7.25513e+14 4.15672e+15 8.92016e+14 1.04796e+44 -3.17512e+44 -2.81808e+15
0.01 0.06 -7.25529e+14 4.15672e+15 8.92016e+14 6.35629e+43 -1.92583e+44 -2.81808e+15
0.01 0.065 -7.25534e+14 4.15672e+15 8.92016e+14 3.8553e+43 -1.16808e+44 -2.81808e+15
0.01 0.07 -7.25536e+14 4.15672e+15 8.92016e+14 2.33836e+43 -7.08476e+43 -2.81808e+15
0.01 0.075 -7.25537e+14 4.15672e+15 8.92016e+14 1.41829e+43 -4.29712e+43 -2.81808e+15
0.01 0.08 -7.25537e+14 4.15672e+15 8.92016e+14 8.60235e+42 -2.60634e+43 -2.81808e+15
